,10_24_2021,vortag,vorwoche,neu
Altenbeken,450,447,446,3
Bad Lippspringe,829,828,816,1
Bad Wünnenberg,613,613,613,0
Borchen,480,480,478,0
Büren,681,680,678,1
Delbrück,1604,1600,1583,4
Hövelhof,802,802,797,0
Lichtenau,318,318,316,0
Paderborn,6370,6359,6309,11
Salzkotten,969,969,964,0
