,10_18_2021,vortag,vorwoche,neu
Altenbeken,446,446,442,0
Bad Lippspringe,823,816,807,7
Bad Wünnenberg,616,613,612,3
Borchen,478,478,478,0
Büren,678,678,677,0
Delbrück,1589,1583,1568,6
Hövelhof,798,797,792,1
Lichtenau,319,316,312,3
Paderborn,6329,6309,6281,20
Salzkotten,968,964,961,4
