,11_04_2021,vortag,vorwoche,neu
Altenbeken,466,465,454,1
Bad Lippspringe,849,846,837,3
Bad Wünnenberg,623,621,615,2
Borchen,493,490,487,3
Büren,728,725,702,3
Delbrück,1668,1657,1631,11
Hövelhof,820,816,809,4
Lichtenau,328,322,319,6
Paderborn,6622,6587,6490,35
Salzkotten,1000,994,984,6
