,11_07_2021,vortag,vorwoche,neu
Altenbeken,468,466,460,2
Bad Lippspringe,852,849,838,3
Bad Wünnenberg,628,623,618,5
Borchen,494,493,489,1
Büren,730,728,711,2
Delbrück,1684,1668,1639,16
Hövelhof,826,820,809,6
Lichtenau,329,328,320,1
Paderborn,6669,6622,6514,47
Salzkotten,1011,1000,989,11
