,07_28_2021,vortag,vorwoche,neu
Altenbeken,383,383,379,0
Bad Lippspringe,663,662,661,1
Bad Wünnenberg,530,530,526,0
Borchen,437,436,436,1
Büren,598,594,589,4
Delbrück,1278,1278,1276,0
Hövelhof,651,651,649,0
Lichtenau,258,258,257,0
Paderborn,5174,5166,5138,8
Salzkotten,754,753,750,1
