,09_29_2021,vortag,vorwoche,neu
Altenbeken,441,441,438,0
Bad Lippspringe,799,798,791,1
Bad Wünnenberg,600,599,595,1
Borchen,473,473,468,0
Büren,677,677,672,0
Delbrück,1535,1530,1528,5
Hövelhof,783,781,767,2
Lichtenau,307,307,305,0
Paderborn,6220,6205,6141,15
Salzkotten,933,932,914,1
