,08_30_2021,vortag,vorwoche,neu
Altenbeken,394,391,388,3
Bad Lippspringe,729,723,707,6
Bad Wünnenberg,565,563,559,2
Borchen,451,449,446,2
Büren,631,628,625,3
Delbrück,1384,1372,1348,12
Hövelhof,690,688,682,2
Lichtenau,274,270,262,4
Paderborn,5723,5672,5546,51
Salzkotten,818,807,797,11
