,08_12_2021,vortag,vorwoche,neu
Altenbeken,385,385,384,0
Bad Lippspringe,680,677,668,3
Bad Wünnenberg,547,547,544,0
Borchen,442,442,439,0
Büren,615,611,608,4
Delbrück,1312,1310,1292,2
Hövelhof,664,664,658,0
Lichtenau,261,261,259,0
Paderborn,5326,5308,5256,18
Salzkotten,767,763,759,4
