,08_07_2021,vortag,vorwoche,neu
Altenbeken,384,384,383,0
Bad Lippspringe,670,668,665,2
Bad Wünnenberg,545,544,529,1
Borchen,441,439,438,2
Büren,608,608,599,0
Delbrück,1294,1292,1284,2
Hövelhof,659,658,653,1
Lichtenau,259,259,260,0
Paderborn,5264,5256,5190,8
Salzkotten,760,759,757,1
