,08_13_2021,vortag,vorwoche,neu
Altenbeken,386,385,384,1
Bad Lippspringe,682,680,670,2
Bad Wünnenberg,549,547,545,2
Borchen,442,442,441,0
Büren,615,615,608,0
Delbrück,1314,1312,1294,2
Hövelhof,664,664,659,0
Lichtenau,262,261,259,1
Paderborn,5343,5326,5264,17
Salzkotten,767,767,760,0
