,12_19_2021,vortag,vorwoche,neu
Altenbeken,648,642,617,6
Bad Lippspringe,1130,1122,1093,8
Bad Wünnenberg,787,779,750,8
Borchen,850,839,793,11
Büren,969,962,914,7
Delbrück,2401,2365,2247,36
Hövelhof,1131,1121,1095,10
Lichtenau,608,603,562,5
Paderborn,9630,9529,9092,101
Salzkotten,1603,1572,1478,31
