,11_17_2021,vortag,vorwoche,neu
Altenbeken,498,493,479,5
Bad Lippspringe,903,893,860,10
Bad Wünnenberg,647,645,632,2
Borchen,564,547,506,17
Büren,750,744,734,6
Delbrück,1774,1754,1707,20
Hövelhof,877,873,844,4
Lichtenau,369,355,342,14
Paderborn,7260,7168,6835,92
Salzkotten,1137,1121,1041,16
