,11_24_2021,vortag,vorwoche,neu
Altenbeken,525,521,498,4
Bad Lippspringe,966,946,903,20
Bad Wünnenberg,674,671,647,3
Borchen,633,620,564,13
Büren,777,771,750,6
Delbrück,1876,1850,1774,26
Hövelhof,934,921,877,13
Lichtenau,427,411,369,16
Paderborn,7738,7649,7260,89
Salzkotten,1227,1221,1137,6
