,09_27_2021,vortag,vorwoche,neu
Altenbeken,441,440,434,1
Bad Lippspringe,796,794,786,2
Bad Wünnenberg,599,595,595,4
Borchen,472,470,467,2
Büren,676,675,670,1
Delbrück,1529,1528,1519,1
Hövelhof,780,773,757,7
Lichtenau,307,306,304,1
Paderborn,6193,6167,6124,26
Salzkotten,932,928,910,4
