,10_15_2021,vortag,vorwoche,neu
Altenbeken,446,446,442,0
Bad Lippspringe,816,814,807,2
Bad Wünnenberg,613,613,611,0
Borchen,478,478,478,0
Büren,678,677,677,1
Delbrück,1583,1576,1558,7
Hövelhof,797,796,792,1
Lichtenau,316,316,311,0
Paderborn,6309,6302,6265,7
Salzkotten,964,964,956,0
