,09_20_2021,vortag,vorwoche,neu
Altenbeken,434,430,421,4
Bad Lippspringe,786,782,775,4
Bad Wünnenberg,595,593,585,2
Borchen,467,466,461,1
Büren,670,669,657,1
Delbrück,1519,1509,1488,10
Hövelhof,757,754,735,3
Lichtenau,304,302,295,2
Paderborn,6124,6095,6010,29
Salzkotten,910,907,890,3
