,12_09_2021,vortag,vorwoche,neu
Altenbeken,603,596,575,7
Bad Lippspringe,1090,1077,1034,13
Bad Wünnenberg,746,741,725,5
Borchen,785,775,728,10
Büren,905,896,854,9
Delbrück,2213,2166,2046,47
Hövelhof,1083,1063,1017,20
Lichtenau,556,541,489,15
Paderborn,8953,8835,8405,118
Salzkotten,1461,1444,1366,17
