,10_12_2021,vortag,vorwoche,neu
Altenbeken,442,442,440,0
Bad Lippspringe,810,807,804,3
Bad Wünnenberg,612,612,608,0
Borchen,478,478,474,0
Büren,677,677,678,0
Delbrück,1568,1568,1545,0
Hövelhof,793,792,787,1
Lichtenau,312,312,308,0
Paderborn,6286,6281,6239,5
Salzkotten,962,961,946,1
