,11_15_2021,vortag,vorwoche,neu
Altenbeken,491,485,474,6
Bad Lippspringe,887,875,854,12
Bad Wünnenberg,641,635,628,6
Borchen,537,520,498,17
Büren,744,738,731,6
Delbrück,1746,1724,1696,22
Hövelhof,868,859,835,9
Lichtenau,355,348,330,7
Paderborn,7104,6983,6749,121
Salzkotten,1113,1084,1025,29
