,11_03_2021,vortag,vorwoche,neu
Altenbeken,465,465,451,0
Bad Lippspringe,846,845,832,1
Bad Wünnenberg,621,621,614,0
Borchen,490,490,486,0
Büren,725,720,690,5
Delbrück,1657,1654,1623,3
Hövelhof,816,812,807,4
Lichtenau,322,321,319,1
Paderborn,6587,6566,6452,21
Salzkotten,994,992,979,2
