,06_28_2021
Altenbeken,375
Bad Lippspringe,657
Bad Wünnenberg,522
Borchen,431
Büren,576
Delbrück,1268
Hövelhof,646
Lichtenau,256
Paderborn,5109
Salzkotten,730
