,11_20_2021,vortag,vorwoche,neu
Altenbeken,512,505,485,7
Bad Lippspringe,926,914,875,12
Bad Wünnenberg,658,656,635,2
Borchen,590,577,520,13
Büren,760,756,738,4
Delbrück,1809,1785,1724,24
Hövelhof,903,886,859,17
Lichtenau,393,381,348,12
Paderborn,7442,7351,6983,91
Salzkotten,1182,1167,1084,15
