,08_24_2021,vortag,vorwoche,neu
Altenbeken,388,388,387,0
Bad Lippspringe,714,707,691,7
Bad Wünnenberg,561,559,550,2
Borchen,446,446,441,0
Büren,625,625,623,0
Delbrück,1349,1348,1323,1
Hövelhof,683,682,669,1
Lichtenau,263,262,262,1
Paderborn,5570,5546,5411,24
Salzkotten,798,797,777,1
