,10_20_2021,vortag,vorwoche,neu
Altenbeken,447,446,442,1
Bad Lippspringe,827,824,810,3
Bad Wünnenberg,613,616,613,-3
Borchen,479,478,478,1
Büren,679,679,678,0
Delbrück,1595,1591,1570,4
Hövelhof,801,798,793,3
Lichtenau,318,319,314,-1
Paderborn,6347,6335,6297,12
Salzkotten,969,967,963,2
