,07_20_2021,vortag,vorwoche,neu
Altenbeken,379,378,375,1
Bad Lippspringe,660,660,660,0
Bad Wünnenberg,526,524,523,2
Borchen,436,436,434,0
Büren,588,587,584,1
Delbrück,1274,1273,1268,1
Hövelhof,649,649,649,0
Lichtenau,257,257,257,0
Paderborn,5130,5127,5123,3
Salzkotten,750,744,743,6
