,10_08_2021,vortag,vorwoche,neu
Altenbeken,442,440,440,2
Bad Lippspringe,807,806,801,1
Bad Wünnenberg,611,611,601,0
Borchen,478,477,474,1
Büren,677,677,677,0
Delbrück,1558,1553,1545,5
Hövelhof,792,791,786,1
Lichtenau,311,311,308,0
Paderborn,6265,6255,6230,10
Salzkotten,956,955,944,1
