,11_23_2021,vortag,vorwoche,neu
Altenbeken,521,514,493,7
Bad Lippspringe,946,934,893,12
Bad Wünnenberg,671,659,645,12
Borchen,620,609,547,11
Büren,771,766,744,5
Delbrück,1850,1826,1754,24
Hövelhof,921,910,873,11
Lichtenau,411,400,355,11
Paderborn,7649,7537,7168,112
Salzkotten,1221,1200,1121,21
