,01_30_2022,vortag,vorwoche,neu
Altenbeken,828,816,794,12
Bad Lippspringe,1425,1420,1373,5
Bad Wünnenberg,992,984,963,8
Borchen,1126,1117,1073,9
Büren,1377,1361,1286,16
Delbrück,3161,3146,3018,15
Hövelhof,1496,1486,1440,10
Lichtenau,770,766,748,4
Paderborn,13111,12991,12433,120
Salzkotten,2007,2001,1951,6
