,12_02_2021,vortag,vorwoche,neu
Altenbeken,575,564,529,11
Bad Lippspringe,1034,1022,978,12
Bad Wünnenberg,725,715,683,10
Borchen,728,725,641,3
Büren,854,843,782,11
Delbrück,2046,2008,1895,38
Hövelhof,1017,1003,944,14
Lichtenau,489,475,433,14
Paderborn,8405,8289,7832,116
Salzkotten,1366,1341,1245,25
