,10_21_2021,vortag,vorwoche,neu
Altenbeken,447,447,446,0
Bad Lippspringe,828,827,814,1
Bad Wünnenberg,613,613,613,0
Borchen,480,479,478,1
Büren,680,679,677,1
Delbrück,1600,1595,1576,5
Hövelhof,802,801,796,1
Lichtenau,318,318,316,0
Paderborn,6359,6347,6302,12
Salzkotten,969,969,964,0
