,07_22_2021,vortag,vorwoche,neu
Altenbeken,381,379,376,2
Bad Lippspringe,661,661,660,0
Bad Wünnenberg,530,526,524,4
Borchen,436,436,435,0
Büren,590,589,586,1
Delbrück,1275,1276,1270,-1
Hövelhof,650,649,649,1
Lichtenau,258,257,257,1
Paderborn,5142,5138,5125,4
Salzkotten,751,750,743,1
