,07_31_2021,vortag,vorwoche,neu
Altenbeken,383,383,382,0
Bad Lippspringe,665,665,662,0
Bad Wünnenberg,529,530,530,-1
Borchen,438,437,436,1
Büren,599,598,591,1
Delbrück,1284,1283,1275,1
Hövelhof,653,651,650,2
Lichtenau,260,258,258,2
Paderborn,5190,5183,5147,7
Salzkotten,757,756,751,1
