,"""Infizierte_7_Tage"""
Altena,8
Balve,9
Halver,31
Hemer,39
Herscheid,13
Iserlohn,102
Kierspe,57
Lüdenscheid,99
Meinerzhagen,21
Menden,64
Nachrodt-Wiblingwerde,5
Neuenrade,18
Plettenberg,30
Schalksmühle,10
Werdohl,22
