,"""Infizierte_7_Tage"""
Altena,20
Balve,2
Halver,11
Hemer,34
Herscheid,4
Iserlohn,159
Kierspe,45
Lüdenscheid,98
Meinerzhagen,21
Menden,38
Nachrodt-Wiblingwerde,7
Neuenrade,19
Plettenberg,29
Schalksmühle,6
Werdohl,33
