,"""Infizierte_7_Tage"""
Altena,4
Balve,0
Halver,0
Hemer,9
Herscheid,0
Iserlohn,30
Kierspe,4
Lüdenscheid,29
Meinerzhagen,1
Menden,14
Nachrodt-Wiblingwerde,4
Neuenrade,10
Plettenberg,6
Schalksmühle,0
Werdohl,22
