,"""Infizierte_7_Tage"""
Altena,91
Balve,29
Halver,100
Hemer,102
Herscheid,28
Iserlohn,393
Kierspe,51
Lüdenscheid,394
Meinerzhagen,78
Menden,141
Nachrodt-Wiblingwerde,14
Neuenrade,27
Plettenberg,134
Schalksmühle,37
Werdohl,72
