,"""Infizierte_7_Tage"""
Altena,4
Balve,17
Halver,19
Hemer,22
Herscheid,12
Iserlohn,135
Kierspe,15
Lüdenscheid,117
Meinerzhagen,12
Menden,38
Nachrodt-Wiblingwerde,4
Neuenrade,11
Plettenberg,25
Schalksmühle,4
Werdohl,27
