,"""Infizierte_7_Tage"""
Altena,31
Balve,12
Halver,54
Hemer,69
Herscheid,25
Iserlohn,156
Kierspe,164
Lüdenscheid,206
Meinerzhagen,48
Menden,94
Nachrodt-Wiblingwerde,4
Neuenrade,17
Plettenberg,29
Schalksmühle,17
Werdohl,41
