,"""Infizierte_7_Tage"""
Altena,9
Balve,1
Halver,0
Hemer,18
Herscheid,1
Iserlohn,50
Kierspe,6
Lüdenscheid,49
Meinerzhagen,6
Menden,16
Nachrodt-Wiblingwerde,5
Neuenrade,9
Plettenberg,18
Schalksmühle,0
Werdohl,31
