,"""Infizierte_7_Tage"""
Altena,9
Balve,7
Halver,31
Hemer,43
Herscheid,18
Iserlohn,83
Kierspe,41
Lüdenscheid,92
Meinerzhagen,23
Menden,47
Nachrodt-Wiblingwerde,3
Neuenrade,16
Plettenberg,29
Schalksmühle,8
Werdohl,20
