,"""Infizierte_7_Tage"""
Altena,0
Balve,0
Halver,0
Hemer,7
Herscheid,0
Iserlohn,26
Kierspe,8
Lüdenscheid,28
Meinerzhagen,4
Menden,15
Nachrodt-Wiblingwerde,0
Neuenrade,0
Plettenberg,4
Schalksmühle,0
Werdohl,13
