,"""Infizierte_7_Tage"""
Altena,1
Balve,0
Halver,0
Hemer,8
Herscheid,0
Iserlohn,24
Kierspe,8
Lüdenscheid,25
Meinerzhagen,2
Menden,14
Nachrodt-Wiblingwerde,0
Neuenrade,8
Plettenberg,1
Schalksmühle,0
Werdohl,13
