,"""Infizierte_7_Tage"""
Altena,46
Balve,19
Halver,87
Hemer,104
Herscheid,20
Iserlohn,222
Kierspe,128
Lüdenscheid,248
Meinerzhagen,77
Menden,117
Nachrodt-Wiblingwerde,16
Neuenrade,34
Plettenberg,68
Schalksmühle,21
Werdohl,60
