,"""Infizierte_7_Tage"""
Altena,68
Balve,14
Halver,22
Hemer,122
Herscheid,5
Iserlohn,298
Kierspe,19
Lüdenscheid,181
Meinerzhagen,43
Menden,93
Nachrodt-Wiblingwerde,27
Neuenrade,23
Plettenberg,62
Schalksmühle,31
Werdohl,30
