,"""Infizierte_7_Tage"""
Altena,1
Balve,0
Halver,0
Hemer,6
Herscheid,0
Iserlohn,24
Kierspe,8
Lüdenscheid,24
Meinerzhagen,4
Menden,13
Nachrodt-Wiblingwerde,0
Neuenrade,0
Plettenberg,4
Schalksmühle,0
Werdohl,9
