,"""Infizierte_7_Tage"""
Altena,26
Balve,13
Halver,44
Hemer,62
Herscheid,22
Iserlohn,145
Kierspe,145
Lüdenscheid,176
Meinerzhagen,38
Menden,89
Nachrodt-Wiblingwerde,7
Neuenrade,15
Plettenberg,30
Schalksmühle,15
Werdohl,41
