,"""Infizierte_7_Tage"""
Altena,6
Balve,11
Halver,24
Hemer,50
Herscheid,21
Iserlohn,61
Kierspe,28
Lüdenscheid,87
Meinerzhagen,22
Menden,33
Nachrodt-Wiblingwerde,4
Neuenrade,7
Plettenberg,29
Schalksmühle,4
Werdohl,17
