,"""Infizierte_7_Tage"""
Altena,4
Balve,8
Halver,24
Hemer,25
Herscheid,16
Iserlohn,141
Kierspe,13
Lüdenscheid,116
Meinerzhagen,18
Menden,36
Nachrodt-Wiblingwerde,1
Neuenrade,15
Plettenberg,23
Schalksmühle,5
Werdohl,29
