,"""Infizierte_7_Tage"""
Altena,80
Balve,30
Halver,105
Hemer,112
Herscheid,19
Iserlohn,472
Kierspe,75
Lüdenscheid,431
Meinerzhagen,125
Menden,157
Nachrodt-Wiblingwerde,18
Neuenrade,38
Plettenberg,135
Schalksmühle,51
Werdohl,89
