,"""Infizierte_7_Tage"""
Altena,19
Balve,2
Halver,11
Hemer,37
Herscheid,4
Iserlohn,160
Kierspe,46
Lüdenscheid,99
Meinerzhagen,18
Menden,36
Nachrodt-Wiblingwerde,8
Neuenrade,19
Plettenberg,33
Schalksmühle,6
Werdohl,22
