,"""Infizierte_7_Tage"""
Altena,9
Balve,23
Halver,8
Hemer,13
Herscheid,9
Iserlohn,64
Kierspe,18
Lüdenscheid,44
Meinerzhagen,16
Menden,16
Nachrodt-Wiblingwerde,0
Neuenrade,4
Plettenberg,21
Schalksmühle,0
Werdohl,7
