,"""Infizierte_7_Tage"""
Altena,10
Balve,23
Halver,8
Hemer,15
Herscheid,9
Iserlohn,63
Kierspe,18
Lüdenscheid,42
Meinerzhagen,16
Menden,17
Nachrodt-Wiblingwerde,0
Neuenrade,4
Plettenberg,20
Schalksmühle,0
Werdohl,9
