,"""Infizierte_7_Tage"""
Altena,11
Balve,12
Halver,38
Hemer,47
Herscheid,15
Iserlohn,111
Kierspe,115
Lüdenscheid,120
Meinerzhagen,31
Menden,77
Nachrodt-Wiblingwerde,4
Neuenrade,16
Plettenberg,34
Schalksmühle,12
Werdohl,34
