,"""Infizierte_7_Tage"""
Altena,9
Balve,6
Halver,6
Hemer,16
Herscheid,5
Iserlohn,55
Kierspe,13
Lüdenscheid,41
Meinerzhagen,3
Menden,12
Nachrodt-Wiblingwerde,0
Neuenrade,10
Plettenberg,18
Schalksmühle,1
Werdohl,6
