,"""Infizierte_7_Tage"""
Altena,67
Balve,33
Halver,117
Hemer,128
Herscheid,24
Iserlohn,490
Kierspe,63
Lüdenscheid,430
Meinerzhagen,124
Menden,167
Nachrodt-Wiblingwerde,30
Neuenrade,40
Plettenberg,153
Schalksmühle,57
Werdohl,87
