,"""Infizierte_7_Tage"""
Altena,5
Balve,15
Halver,22
Hemer,11
Herscheid,7
Iserlohn,124
Kierspe,15
Lüdenscheid,111
Meinerzhagen,13
Menden,41
Nachrodt-Wiblingwerde,4
Neuenrade,11
Plettenberg,22
Schalksmühle,4
Werdohl,25
