,"""Infizierte_7_Tage"""
Altena,6
Balve,0
Halver,6
Hemer,20
Herscheid,2
Iserlohn,74
Kierspe,28
Lüdenscheid,66
Meinerzhagen,25
Menden,21
Nachrodt-Wiblingwerde,2
Neuenrade,5
Plettenberg,15
Schalksmühle,1
Werdohl,11
