,"""Infizierte_7_Tage"""
Altena,20
Balve,2
Halver,11
Hemer,36
Herscheid,4
Iserlohn,157
Kierspe,44
Lüdenscheid,99
Meinerzhagen,20
Menden,34
Nachrodt-Wiblingwerde,7
Neuenrade,18
Plettenberg,30
Schalksmühle,6
Werdohl,30
