,"""Infizierte_7_Tage"""
Altena,10
Balve,20
Halver,10
Hemer,17
Herscheid,9
Iserlohn,59
Kierspe,19
Lüdenscheid,38
Meinerzhagen,10
Menden,16
Nachrodt-Wiblingwerde,0
Neuenrade,7
Plettenberg,21
Schalksmühle,0
Werdohl,8
