,"""Infizierte_7_Tage"""
Altena,94
Balve,75
Halver,152
Hemer,229
Herscheid,49
Iserlohn,829
Kierspe,99
Lüdenscheid,559
Meinerzhagen,194
Menden,425
Nachrodt-Wiblingwerde,51
Neuenrade,74
Plettenberg,244
Schalksmühle,96
Werdohl,158
