,"""Infizierte_7_Tage"""
Altena,224
Balve,117
Halver,312
Hemer,705
Herscheid,102
Iserlohn,1582
Kierspe,276
Lüdenscheid,1201
Meinerzhagen,377
Menden,1151
Nachrodt-Wiblingwerde,102
Neuenrade,280
Plettenberg,398
Schalksmühle,128
Werdohl,366
