,"""Infizierte_7_Tage"""
Altena,54
Balve,22
Halver,21
Hemer,109
Herscheid,13
Iserlohn,162
Kierspe,29
Lüdenscheid,187
Meinerzhagen,54
Menden,113
Nachrodt-Wiblingwerde,14
Neuenrade,11
Plettenberg,54
Schalksmühle,11
Werdohl,42
