,"""Infizierte_7_Tage"""
Altena,5
Balve,5
Halver,20
Hemer,7
Herscheid,4
Iserlohn,49
Kierspe,8
Lüdenscheid,43
Meinerzhagen,11
Menden,24
Nachrodt-Wiblingwerde,2
Neuenrade,1
Plettenberg,18
Schalksmühle,3
Werdohl,11
