,"""Infizierte_7_Tage"""
Altena,13
Balve,5
Halver,20
Hemer,26
Herscheid,9
Iserlohn,64
Kierspe,12
Lüdenscheid,76
Meinerzhagen,18
Menden,47
Nachrodt-Wiblingwerde,4
Neuenrade,4
Plettenberg,35
Schalksmühle,10
Werdohl,11
